"","prestretch","rom"
"1","8.4",4.68298819439626
"2","8.4",4.78858937596663
"3","8.4",4.03934969696436
"4","8.4",4.12922395652654
"5","8.4",3.90769703634266
"6","8.4",4.43412689364732
"7","8.4",3.96884923209289
"8","8.4",4.53326571484178
"9","8.4",4.26221102685539
"10","8.4",3.86514202587651
"11","8.4",3.82408761606301
"12","8.4",5.18730569438558
"13","8.4",4.09883429289974
"14","8.4",4.00303742656745
"15","8.4",5.09071480679308
"16","8.4",3.92446207144172
"17","8.4",4.74218832005653
"18","8.4",3.59023593040389
"19","8.4",4.23872728368727
"20","8.4",3.90323113444401
"21","8.4",3.9135086485561
"22","8.4",3.71912833530731
"23","8.4",3.65500825556832
"24","8.4",3.38715676994503
"25","8.4",4.32756688527632
"26","8.4",5.49789577964446
"27","8.4",4.31124820355331
"28","8.4",4.16257287599204
"29","8.4",4.3716025229129
"30","8.4",4.01621064057057
"31","8.4",3.7184993476601
"32","8.4",4.69456567955734
"33","8.4",4.44419396262405
"34","8.4",4.097523304259
"35","8.4",4.65278208185967
"36","8.4",4.27635284765758
"37","8.4",5.27793051948099
"38","8.4",4.68704678604673
"39","8.4",5.15510472849832
"40","8.4",4.76720138704306
"41","8.4",4.72692601249943
"42","8.4",4.15953269706596
"43","8.4",3.84176376451977
"44","8.4",4.72660670662545
"45","8.4",4.99451690025525
"46","8.4",4.67844172857642
"47","8.4",4.64791712066841
"48","8.4",4.30900325377911
"49","8.4",3.94424013860081
"50","8.4",4.60680178681173
"51","8.4",5.4560636478136
"52","8.4",4.28274866372868
"53","8.4",3.6965894057795
"54","8.4",3.45814263078617
"55","8.4",4.64750758288736
"56","8.4",4.91224130912864
"57","8.4",3.04494323934712
"58","8.4",4.40045923697001
"59","8.4",4.36974977907009
"60","8.4",3.93251029455615
"61","8.4",5.09350822637775
"62","8.4",4.66859886364692
"63","8.4",5.15477139106114
"64","8.4",4.8201688893239
"65","8.4",4.23144506116103
"66","8.4",4.79543414830255
"67","8.4",3.9859244930508
"68","8.4",4.31707632369804
"69","8.4",4.61784310291881
"70","8.4",4.19960933953898
"71","8.4",4.02888494686299
"72","8.4",3.91224001015337
"73","8.4",4.58977933137582
"74","8.4",4.31960777256683
"75","8.4",4.3561497228151
"76","8.4",3.35452693313766
"77","8.4",3.57618707222327
"78","8.4",3.93420392540452
"79","8.4",4.36455995101215
"80","8.4",3.99254860340702
"81","8.4",3.91913229313374
"82","8.4",4.829153503243
"83","8.4",5.01809558799403
"84","8.4",3.96809164856941
"85","8.4",5.18212464763662
"86","8.4",4.38896409037149
"87","8.4",4.20359067366905
"88","8.4",3.92038349645044
"89","8.4",4.27207007287819
"90","8.4",4.61639019778707
"91","8.4",4.00029144022953
"92","8.4",3.52416214904147
"93","8.4",3.81685679207472
"94","8.4",5.39328548739955
"95","8.4",3.42764287033446
"96","8.4",4.2948740134029
"97","8.4",4.11897276433705
"98","8.4",4.04312649902328
"99","8.4",4.61599675992455
"100","8.4",4.14732242640342
"101","16.9",5.53496464535417
"102","16.9",5.81442822363684
"103","16.9",5.40265543554088
"104","16.9",5.16623315070266
"105","16.9",5.0017512725318
"106","16.9",5.84724049437753
"107","16.9",4.97555006302895
"108","16.9",5.79767960803644
"109","16.9",5.54916842476807
"110","16.9",4.96471331914002
"111","16.9",4.86350615121825
"112","16.9",6.45325261830628
"113","16.9",5.20313472174453
"114","16.9",5.11989100666919
"115","16.9",6.21226526249603
"116","16.9",5.13238373115128
"117","16.9",5.98778640167893
"118","16.9",4.88608833661765
"119","16.9",5.13887576598696
"120","16.9",4.98526611108414
"121","16.9",5.36783873386967
"122","16.9",4.77739894431437
"123","16.9",4.79063214328082
"124","16.9",4.42986858416073
"125","16.9",5.56024243324939
"126","16.9",6.5744786689606
"127","16.9",5.40468171053235
"128","16.9",5.36788902331489
"129","16.9",5.49085797804296
"130","16.9",5.08271516814504
"131","16.9",4.89649348397227
"132","16.9",5.80396610375122
"133","16.9",5.61940016991488
"134","16.9",5.22593956108251
"135","16.9",5.74006533853887
"136","16.9",5.47068249835525
"137","16.9",6.55325215519784
"138","16.9",5.95872096344214
"139","16.9",6.03496471840153
"140","16.9",5.9649118529095
"141","16.9",5.85430521595795
"142","16.9",5.042305147737
"143","16.9",4.8350962624817
"144","16.9",5.9542259156289
"145","16.9",5.92864359942083
"146","16.9",6.1953820494119
"147","16.9",5.7607171238594
"148","16.9",5.65466069178962
"149","16.9",5.21617400551671
"150","16.9",5.67351716218363
"151","16.9",6.39453534875782
"152","16.9",5.282761336739
"153","16.9",4.98050023655589
"154","16.9",4.81035486969401
"155","16.9",5.77128719837058
"156","16.9",6.41730133268006
"157","16.9",4.20035641426655
"158","16.9",5.6065013269481
"159","16.9",5.5896230514676
"160","16.9",5.16001492551869
"161","16.9",6.08340932242542
"162","16.9",5.84155521281509
"163","16.9",6.2487223644622
"164","16.9",5.45910797876058
"165","16.9",5.36645913742024
"166","16.9",6.26316777447454
"167","16.9",5.0947116515065
"168","16.9",5.09093977713356
"169","16.9",5.88039945689617
"170","16.9",5.18732010614895
"171","16.9",5.12887861554315
"172","16.9",4.9681387013729
"173","16.9",5.7503058173859
"174","16.9",5.58643772361691
"175","16.9",5.49514480118188
"176","16.9",4.65071483751442
"177","16.9",4.91415919442329
"178","16.9",5.10278088644741
"179","16.9",5.39084504446822
"180","16.9",5.05216555558741
"181","16.9",5.3232743830181
"182","16.9",5.96884159562175
"183","16.9",6.07563349967329
"184","16.9",5.35702941181145
"185","16.9",6.20326272232066
"186","16.9",5.29535796266894
"187","16.9",5.33944544047246
"188","16.9",5.12568998689913
"189","16.9",5.39910229225385
"190","16.9",5.86817983638125
"191","16.9",4.80799643673612
"192","16.9",4.3957951613805
"193","16.9",4.91945360950202
"194","16.9",6.1857626504258
"195","16.9",4.88562845979978
"196","16.9",5.26144951815264
"197","16.9",5.16378914124651
"198","16.9",5.44277898218515
"199","16.9",5.49549471082829
"200","16.9",5.64564429413148
"201","25.3",6.4204083231458
"202","25.3",6.5131516332767
"203","25.3",6.06878258581896
"204","25.3",6.19163175563253
"205","25.3",6.08845389832052
"206","25.3",6.56245029923088
"207","25.3",5.77506044404154
"208","25.3",6.68884579025892
"209","25.3",6.49531620804388
"210","25.3",5.79629428029392
"211","25.3",5.6529016098636
"212","25.3",7.11272992248576
"213","25.3",6.34081159653483
"214","25.3",5.85883126354041
"215","25.3",6.887839227362
"216","25.3",6.19692354815417
"217","25.3",6.7180565522017
"218","25.3",5.72165951710404
"219","25.3",6.02886166132275
"220","25.3",6.17873681467597
"221","25.3",6.28715832950476
"222","25.3",5.93163547920351
"223","25.3",5.55449291911954
"224","25.3",5.21343536649669
"225","25.3",6.37075918450473
"226","25.3",7.47465617378744
"227","25.3",6.28983364716517
"228","25.3",5.9935747036102
"229","25.3",6.38622277244004
"230","25.3",6.14181576802331
"231","25.3",5.67268201111258
"232","25.3",6.57847980741275
"233","25.3",6.31271015333787
"234","25.3",5.96092507645954
"235","25.3",6.59386333625256
"236","25.3",6.04688339790518
"237","25.3",7.11964396150702
"238","25.3",6.75517015903962
"239","25.3",7.17023381524886
"240","25.3",6.67103709581671
"241","25.3",6.63387304839036
"242","25.3",6.06865285808254
"243","25.3",5.96868390165183
"244","25.3",6.67772486384854
"245","25.3",6.8693387211789
"246","25.3",6.82517393574726
"247","25.3",6.45873452168725
"248","25.3",6.42932244025302
"249","25.3",6.13711168285093
"250","25.3",6.66447904322607
"251","25.3",7.2892676285805
"252","25.3",6.27492449652459
"253","25.3",5.78357926764
"254","25.3",5.62719655138962
"255","25.3",6.57691272088935
"256","25.3",7.23908488088649
"257","25.3",5.10281008911338
"258","25.3",6.24533641226166
"259","25.3",6.19703102978235
"260","25.3",6.05354886110815
"261","25.3",7.2361637121558
"262","25.3",6.60259713312215
"263","25.3",7.12800574229381
"264","25.3",6.9523819217471
"265","25.3",6.1940552089099
"266","25.3",7.03267717207794
"267","25.3",6.04906872883634
"268","25.3",6.12266232683022
"269","25.3",6.63793920061399
"270","25.3",6.07497527549329
"271","25.3",6.036719168821
"272","25.3",5.95618264875899
"273","25.3",6.53603158290788
"274","25.3",6.49047208403083
"275","25.3",6.29198749880875
"276","25.3",5.56494198521239
"277","25.3",5.65583855883925
"278","25.3",5.76102874177141
"279","25.3",6.44718845014466
"280","25.3",6.48167065586344
"281","25.3",6.12975625069093
"282","25.3",6.89645397891024
"283","25.3",7.02102990019498
"284","25.3",6.02401918819448
"285","25.3",6.83146880678488
"286","25.3",6.44935797062315
"287","25.3",6.14606901633309
"288","25.3",5.75186616331325
"289","25.3",6.22270516673807
"290","25.3",6.66670502916118
"291","25.3",5.88593748902931
"292","25.3",5.44094811486024
"293","25.3",5.95392489492032
"294","25.3",7.13556183956053
"295","25.3",5.59303890194995
"296","25.3",6.16771487384611
"297","25.3",6.15170122891384
"298","25.3",5.94163788326575
"299","25.3",6.34601540215294
"300","25.3",6.15621738761628
"301","33.8",7.06998031554083
"302","33.8",7.1009739265833
"303","33.8",6.61608121107269
"304","33.8",6.70167111444261
"305","33.8",6.52010003520267
"306","33.8",6.84873249107517
"307","33.8",6.47653644504894
"308","33.8",7.1215315092338
"309","33.8",6.96023319232119
"310","33.8",6.29736425584256
"311","33.8",6.49033438158343
"312","33.8",7.72861779052738
"313","33.8",6.83541904343055
"314","33.8",6.30380834242061
"315","33.8",7.59798242939277
"316","33.8",6.52167664027572
"317","33.8",7.35561169298868
"318","33.8",6.23951852328992
"319","33.8",6.52852220996904
"320","33.8",6.46416523140471
"321","33.8",6.73448407409218
"322","33.8",6.27467051728977
"323","33.8",6.05250357311497
"324","33.8",5.65541155103085
"325","33.8",7.05664819389657
"326","33.8",7.79131654592126
"327","33.8",6.83354757026977
"328","33.8",6.68447381227607
"329","33.8",6.74963615682954
"330","33.8",6.56292756685902
"331","33.8",6.42432633748905
"332","33.8",7.10782122705744
"333","33.8",7.09923497361014
"334","33.8",6.4144549100646
"335","33.8",7.2976017789731
"336","33.8",6.79911138412742
"337","33.8",7.83842111345212
"338","33.8",7.35442485478749
"339","33.8",7.34626187985866
"340","33.8",7.13587358228421
"341","33.8",7.15395543846452
"342","33.8",6.55534014037953
